Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
21,Adam Armstrong,eng ENG,FW,Southampton,24,1997,15.7,29,1.85,17,0,4,4,4,0,3,0.19,2,0,0,0,1,0,Matches
22,Stuart Armstrong,sct SCO,MF,Southampton,29,1992,16.4,51,3.12,40,2,2,2,4,1,2,0.12,1,0,0,0,1,0,Matches
23,Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
24,Harrison Ashby,sct SCO,DF,West Ham,19,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
25,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32,1989,11.5,23,2,14,0,1,5,3,0,3,0.26,2,0,0,1,0,0,Matches
26,Jordan Ayew,gh GHA,FW,Crystal Palace,29,1991,22.4,47,2.1,31,1,1,3,8,3,6,0.27,4,0,0,0,1,1,Matches
27,Luke Ayling,eng ENG,DF,Leeds United,29,1991,25.2,22,0.87,16,0,0,6,0,0,3,0.12,0,0,0,3,0,0,Matches
28,César Azpilicueta,es ESP,DF,Chelsea,31,1989,23,44,1.91,41,0,2,1,0,0,8,0.35,6,0,1,1,0,0,Matches
29,Daniel Bachmann,at AUT,GK,Watford,27,1994,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
30,Leon Bailey,jm JAM,FWMF,Aston Villa,23,1997,8.5,21,2.48,15,1,2,1,2,0,3,0.35,2,0,1,0,0,0,Matches
31,Eric Bailly,ci CIV,DF,Manchester Utd,27,1994,2.4,1,0.41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
32,Folarin Balogun,eng ENG,FW,Arsenal,20,2001,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
33,Patrick Bamford,eng ENG,FW,Leeds United,27,1993,6.2,12,1.93,9,0,1,0,1,1,3,0.48,2,0,1,0,0,0,Matches
34,Shandon Baptiste,gd GRN,MF,Brentford,23,1998,10.1,17,1.68,13,0,1,1,0,2,2,0.2,1,0,0,0,0,1,Matches
35,Ross Barkley,eng ENG,MF,Chelsea,27,1993,2,18,9.05,12,3,2,0,1,0,3,1.51,3,0,0,0,0,0,Matches
36,Ashley Barnes,eng ENG,FW,Burnley,31,1989,9,21,2.34,15,0,0,2,3,1,1,0.11,1,0,0,0,0,0,Matches
37,Harvey Barnes,eng ENG,FWMF,Leicester City,23,1997,23.3,57,2.44,45,0,8,2,2,0,13,0.56,11,0,0,2,0,0,Matches
38,Lewis Bate,eng ENG,MF,Leeds United,18,2002,1.6,2,1.23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
39,Mads Bech Sørensen,dk DEN,DF,Brentford,22,1999,9.3,9,0.97,4,5,0,0,0,0,0,0,0,0,0,0,0,0,Matches
40,Jan Bednarek,pl POL,DF,Southampton,25,1996,29.2,19,0.65,16,2,0,0,0,1,0,0,0,0,0,0,0,0,Matches
41,Donny van de Beek,nl NED,MF,Manchester Utd,24,1997,0.8,5,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
42,Donny van de Beek,nl NED,MF,Everton,24,1997,5.4,5,0.93,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
43,Asmir Begovi?,ba BIH,GK,Everton,34,1987,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
44,Saïd Benrahma,dz ALG,FWMF,West Ham,25,1995,24.1,69,2.86,53,0,6,5,4,1,8,0.33,7,0,0,1,0,0,Matches
45,Rodrigo Bentancur,uy URU,MF,Tottenham,24,1997,15.1,35,2.31,33,0,0,2,0,0,7,0.46,6,0,0,1,0,0,Matches
46,Christian Benteke,be BEL,FW,Crystal Palace,30,1990,12.7,20,1.57,17,0,1,1,1,0,1,0.08,1,0,0,0,0,0,Matches
47,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30,1990,12.2,19,1.55,14,0,1,1,2,1,2,0.16,2,0,0,0,0,0,Matches
48,Steven Bergwijn,nl NED,FWMF,Tottenham,23,1997,6.3,20,3.19,15,1,2,1,1,0,3,0.48,1,0,1,0,1,0,Matches
49,Ryan Bertrand,eng ENG,DF,Leicester City,31,1989,3.7,2,0.53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
50,Mads Bidstrup,dk DEN,MF,Brentford,20,2001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
51,Yves Bissouma,ml MLI,MF,Brighton,24,1996,23.5,24,1.02,16,0,4,1,2,1,4,0.17,3,0,0,0,1,0,Matches
52,Willy Boly,ci CIV,DF,Wolves,30,1991,10,2,0.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
53,Jarrod Bowen,eng ENG,FW,West Ham,24,1996,33.1,95,2.87,53,19,8,8,4,3,21,0.63,10,4,3,1,3,0,Matches
54,Jarrad Branthwaite,eng ENG,DF,Everton,19,2002,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
55,Armando Broja,al ALB,FW,Southampton,19,2001,21.9,37,1.69,17,0,6,5,5,4,3,0.14,0,0,1,0,2,0,Matches
56,Josh Brownhill,eng ENG,MF,Burnley,25,1995,32.8,66,2.01,41,19,2,1,1,2,4,0.12,1,2,1,0,0,0,Matches
57,Lewis Brunt,eng ENG,MF,Leicester City,20,2000,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
58,Bryan,es ESP,FWMF,Tottenham,20,2001,1,5,4.79,4,0,0,1,0,0,1,0.96,1,0,0,0,0,0,Matches
59,Emi Buendía,ar ARG,FWMF,Aston Villa,24,1996,21.1,74,3.51,61,3,3,2,5,0,10,0.47,7,0,2,1,0,0,Matches
60,Dan Burn,eng ENG,DF,Newcastle Utd,29,1992,16,4,0.25,3,1,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
61,Dan Burn,eng ENG,DF,Brighton,29,1992,11.4,5,0.44,4,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
62,Jack Butland,eng ENG,GK,Crystal Palace,28,1993,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
63,Sam Byram,eng ENG,DF,Norwich City,27,1993,11.4,11,0.96,8,0,1,1,0,1,2,0.18,1,0,0,0,0,1,Matches
64,Willy Caballero,ar ARG,GK,Southampton,39,1981,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
65,Moisés Caicedo,ec ECU,MF,Brighton,19,2001,7.3,10,1.36,8,0,1,1,0,0,2,0.27,2,0,0,0,0,0,Matches
66,Dominic Calvert-Lewin,eng ENG,FW,Everton,24,1997,14.3,30,2.1,21,1,2,1,4,1,4,0.28,3,0,0,0,1,0,Matches
67,Chem Campbell,wls WAL,MF,Wolves,18,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
68,João Cancelo,pt POR,DF,Manchester City,27,1994,35.9,103,2.87,82,0,7,12,1,1,16,0.45,11,0,1,3,0,1,Matches
69,Sergi Canós,es ESP,DF,Brentford,24,1997,23.1,35,1.51,28,2,2,2,1,0,5,0.22,4,0,0,1,0,0,Matches
70,Todd Cantwell,eng ENG,FWMF,Norwich City,23,1998,4.9,5,1.02,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
71,Matty Cash,pl POL,DF,Aston Villa,23,1997,37.5,54,1.44,37,4,4,2,6,1,7,0.19,4,2,1,0,0,0,Matches
72,Timothy Castagne,be BEL,DF,Leicester City,25,1995,23.6,25,1.06,21,3,0,0,1,0,1,0.04,0,0,0,0,1,0,Matches
73,Jonny Castro,es ESP,DF,Wolves,27,1994,11.4,18,1.58,16,0,0,0,1,1,0,0,0,0,0,0,0,0,Matches
74,Craig Cathcart,nir NIR,DF,Watford,32,1989,26.6,5,0.19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
75,Edinson Cavani,uy URU,FW,Manchester Utd,34,1987,8.5,11,1.29,8,0,0,2,1,0,2,0.23,1,0,0,1,0,0,Matches
76,Kayky Chagas,br BRA,FW,Manchester City,18,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
77,Trevoh Chalobah,eng ENG,DF,Chelsea,22,1999,16.1,7,0.43,7,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
78,Calum Chambers,eng ENG,DF,Arsenal,26,1995,1.9,1,0.53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
79,Calum Chambers,eng ENG,DF,Aston Villa,26,1995,9.2,13,1.41,12,0,0,1,0,0,1,0.11,1,0,0,0,0,0,Matches
80,Daniel Chesters,eng ENG,MF,West Ham,19,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
81,Ben Chilwell,eng ENG,DF,Chelsea,24,1996,6,21,3.49,11,7,1,1,0,1,1,0.17,0,1,0,0,0,0,Matches
82,Chiquinho,pt POR,DFMF,Wolves,21,2000,2.3,10,4.33,7,1,1,0,1,0,3,1.3,3,0,0,0,0,0,Matches
83,Hamza Choudhury,eng ENG,DFMF,Leicester City,23,1997,3.2,1,0.32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
84,Andreas Christensen,dk DEN,DF,Chelsea,25,1996,16.6,8,0.48,7,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
85,Carney Chukwuemeka,eng ENG,MFFW,Aston Villa,17,2004,3.3,4,1.2,4,0,0,0,0,0,1,0.3,1,0,0,0,0,0,Matches
86,Ciaran Clark,ie IRL,DF,Newcastle Utd,31,1989,11.3,5,0.44,4,0,0,1,0,0,1,0.09,1,0,0,0,0,0,Matches
87,Tom Cleverley,eng ENG,MF,Watford,31,1989,18,35,1.95,20,10,0,1,4,0,3,0.17,2,1,0,0,0,0,Matches
88,Nathaniel Clyne,eng ENG,DF,Crystal Palace,30,1991,15,11,0.73,9,1,0,0,0,1,2,0.13,2,0,0,0,0,0,Matches
89,Conor Coady,eng ENG,DF,Wolves,28,1993,37.3,7,0.19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
90,Séamus Coleman,ie IRL,DF,Everton,32,1988,29.5,38,1.29,28,3,0,2,3,2,4,0.14,2,0,0,0,2,0,Matches
91,Nathan Collins,ie IRL,DF,Burnley,20,2001,18.6,17,0.92,10,2,1,3,1,0,1,0.05,1,0,0,0,0,0,Matches
92,Aaron Connolly,ie IRL,FW,Brighton,21,2000,1.7,2,1.15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
93,Liam Cooper,sct SCO,DF,Leeds United,29,1991,20.2,9,0.45,7,0,0,1,1,0,2,0.1,1,0,0,1,0,0,Matches
94,Jack Cork,eng ENG,MF,Burnley,32,1989,18.6,12,0.65,10,0,0,0,1,1,0,0,0,0,0,0,0,0,Matches
95,Maxwel Cornet,ci CIV,FWMF,Burnley,24,1996,19.6,27,1.38,16,3,1,3,4,0,6,0.31,1,1,1,1,2,0,Matches
96,Hélder Costa,ao ANG,MF,Leeds United,27,1994,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
97,Vladimír Coufal,cz CZE,DF,West Ham,28,1992,24.5,46,1.87,35,8,0,1,1,1,7,0.29,6,1,0,0,0,0,Matches
98,Philippe Coutinho,br BRA,MFFW,Aston Villa,29,1992,14.8,54,3.66,38,4,4,5,3,0,6,0.41,5,0,0,1,0,0,Matches
99,Aaron Cresswell,eng ENG,DF,West Ham,31,1989,30.3,49,1.62,27,20,0,2,0,0,5,0.17,2,3,0,0,0,0,Matches
100,Charlie Cresswell,eng ENG,DF,Leeds United,18,2002,1.6,1,0.64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
101,Cucho,co COL,FWMF,Watford,22,1999,12.7,40,3.14,26,4,5,3,1,1,6,0.47,3,1,0,1,0,1,Matches
102,Marc Cucurella,es ESP,DF,Brighton,23,1998,34.3,78,2.27,66,7,1,2,1,1,2,0.06,1,1,0,0,0,0,Matches
103,Luke Cundle,eng ENG,MF,Wolves,19,2002,2,3,1.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
104,Patson Daka,zm ZAM,FW,Leicester City,22,1998,12.9,24,1.86,21,0,0,1,1,1,7,0.54,5,0,0,1,0,1,Matches
105,Stuart Dallas,nir NIR,DFMF,Leeds United,30,1991,32.4,64,1.97,38,18,2,1,2,3,3,0.09,2,0,0,0,0,1,Matches
106,Diogo Dalot,pt POR,DF,Manchester Utd,22,1999,20,37,1.85,33,1,2,0,1,0,5,0.25,5,0,0,0,0,0,Matches
107,Karl Darlow,eng ENG,GK,Newcastle Utd,30,1990,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
108,Josh Dasilva,eng ENG,MFFW,Brentford,22,1998,2.9,5,1.75,4,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
109,Ben Davies,wls WAL,DF,Tottenham,28,1993,28.2,29,1.03,27,1,0,1,0,0,4,0.14,3,0,0,1,0,0,Matches
110,Tom Davies,eng ENG,MF,Everton,23,1998,2.6,4,1.54,3,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
111,Keinan Davis,eng ENG,FW,Aston Villa,23,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
112,Craig Dawson,eng ENG,DF,West Ham,31,1990,30.6,11,0.36,6,0,1,4,0,0,5,0.16,3,0,0,2,0,0,Matches
113,Kevin De Bruyne,be BEL,MF,Manchester City,30,1991,24.5,139,5.68,94,32,3,5,5,0,14,0.57,8,3,2,0,1,0,Matches
114,Troy Deeney,eng ENG,FW,Watford,33,1988,0.3,1,3.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
115,Liam Delap,eng ENG,FW,Manchester City,18,2003,0.1,1,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
116,Fabian Delph,eng ENG,MF,Everton,31,1989,7.4,5,0.68,4,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
117,Leander Dendoncker,be BEL,MF,Wolves,26,1995,21.7,28,1.29,26,0,0,1,0,1,8,0.37,6,0,0,1,0,1,Matches
118,Emmanuel Dennis,ng NGA,FWMF,Watford,23,1997,28.7,91,3.17,54,2,17,8,8,2,12,0.42,7,0,1,2,1,1,Matches
119,Kiernan Dewsbury Hall,eng ENG,MF,Leicester City,22,1998,23.4,66,2.82,49,3,4,3,5,2,6,0.26,5,1,0,0,0,0,Matches
120,Ibrahima Diallo,fr FRA,MF,Southampton,22,1999,11.4,29,2.55,25,0,2,0,1,1,4,0.35,4,0,0,0,0,0,Matches
121,Raphael Dias Belloli,br BRA,FWMF,Leeds United,24,1996,32.4,119,3.67,66,22,13,9,6,3,9,0.28,4,0,2,0,2,1,Matches
122,Rúben Dias,pt POR,DF,Manchester City,24,1997,26.7,30,1.12,26,0,0,3,0,1,6,0.22,4,0,0,2,0,0,Matches
123,Luis Díaz,co COL,FW,Liverpool,24,1997,10.6,49,4.6,34,0,10,3,0,2,4,0.38,3,0,0,1,0,0,Matches
124,Eric Dier,eng ENG,DF,Tottenham,27,1994,34.1,28,0.82,22,0,0,4,0,2,4,0.12,2,0,0,2,0,0,Matches
125,Lucas Digne,fr FRA,DF,Aston Villa,28,1993,14.1,46,3.26,33,12,1,0,0,0,7,0.5,6,1,0,0,0,0,Matches
126,Lucas Digne,fr FRA,DF,Everton,28,1993,13,33,2.54,22,9,1,0,1,0,0,0,0,0,0,0,0,0,Matches
127,Virgil van Dijk,nl NED,DF,Liverpool,30,1991,34,24,0.71,18,0,0,6,0,0,6,0.18,4,0,0,2,0,0,Matches
128,Issa Diop,fr FRA,DF,West Ham,24,1997,10.7,2,0.19,2,0,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches
129,Moussa Djenepo,ml MLI,MF,Southampton,23,1998,5.1,16,3.15,12,0,2,1,1,0,1,0.2,1,0,0,0,0,0,Matches
130,Lewis Dobbin,eng ENG,FWMF,Everton,18,2003,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
131,Matt Doherty,ie IRL,DF,Tottenham,29,1992,9.7,23,2.37,19,0,1,3,0,0,4,0.41,4,0,0,0,0,0,Matches
132,Gabriel Dos Santos,br BRA,DF,Arsenal,23,1997,34,22,0.65,20,0,0,1,0,1,1,0.03,1,0,0,0,0,0,Matches
133,Abdoulaye Doucouré,ml MLI,MF,Everton,28,1993,28.2,53,1.88,48,0,2,2,0,1,7,0.25,5,0,1,1,0,0,Matches
134,Kieran Dowell,eng ENG,FWMF,Norwich City,23,1997,10.1,23,2.27,18,5,0,0,0,0,1,0.1,1,0,0,0,0,0,Matches
135,Cody Drameh,eng ENG,DF,Leeds United,19,2001,1.4,2,1.41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
136,Martin Dúbravka,sk SVK,GK,Newcastle Utd,32,1989,26,2,0.08,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
137,Shane Duffy,ie IRL,DF,Brighton,29,1992,16,8,0.5,6,0,0,2,0,0,2,0.13,1,0,0,1,0,0,Matches
138,Paul Dummett,wls WAL,DF,Newcastle Utd,29,1991,2.2,1,0.45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
139,Lewis Dunk,eng ENG,DF,Brighton,29,1991,28.6,15,0.52,11,1,0,3,0,0,2,0.07,1,1,0,0,0,0,Matches
140,Ederson,br BRA,GK,Manchester City,27,1993,37,4,0.11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
141,Odsonne Édouard,fr FRA,FW,Crystal Palace,23,1998,17.4,39,2.24,26,0,4,5,0,4,3,0.17,2,0,0,1,0,0,Matches
142,CJ Egan-Riley,eng ENG,DF,Manchester City,18,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
143,Anthony Elanga,se SWE,FW,Manchester Utd,19,2002,13.5,18,1.33,9,0,3,0,4,2,5,0.37,2,0,1,0,1,1,Matches
144,Harvey Elliott,eng ENG,MF,Liverpool,18,2003,3.8,21,5.46,14,1,1,3,2,0,1,0.26,1,0,0,0,0,0,Matches
145,Mohamed Elneny,eg EGY,MF,Arsenal,29,1992,9,13,1.45,13,0,0,0,0,0,2,0.22,2,0,0,0,0,0,Matches
146,Mohamed Elyounoussi,no NOR,MFFW,Southampton,26,1994,22.7,52,2.29,41,0,2,5,3,1,5,0.22,3,0,0,2,0,0,Matches
147,Emerson,br BRA,DF,Tottenham,22,1999,25.4,49,1.93,40,0,4,2,1,2,4,0.16,4,0,0,0,0,0,Matches
148,Christian Eriksen,dk DEN,MF,Brentford,29,1992,10.4,53,5.08,26,24,0,1,2,0,7,0.67,3,3,0,0,1,0,Matches
149,Oghenekaro Etebo,ng NGA,MF,Watford,25,1995,4.5,4,0.9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
150,Jonny Evans,nir NIR,DF,Leicester City,33,1988,15,8,0.53,7,1,0,0,0,0,2,0.13,1,1,0,0,0,0,Matches
151,Eberechi Eze,eng ENG,MFFW,Crystal Palace,23,1998,6.7,22,3.27,11,7,1,1,1,1,2,0.3,1,1,0,0,0,0,Matches
152,?ukasz Fabia?ski,pl POL,GK,West Ham,36,1985,37,3,0.08,2,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
153,Fabinho,br BRA,MF,Liverpool,27,1993,25.7,39,1.52,31,0,0,3,4,1,5,0.19,3,0,0,2,0,0,Matches
154,Kiko Femenía,es ESP,DF,Watford,30,1991,23.8,39,1.64,27,12,0,0,0,0,6,0.25,5,1,0,0,0,0,Matches
155,Evan Ferguson,ie IRL,MF,Brighton,16,2004,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
156,Nathan Ferguson,eng ENG,DF,Crystal Palace,20,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
157,Bruno Fernandes,pt POR,MF,Manchester Utd,26,1994,34.6,145,4.19,109,18,4,7,4,3,10,0.29,8,0,1,1,0,0,Matches
158,Álvaro Fernández,es ESP,GK,Brentford,23,1998,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
159,Federico Fernández,ar ARG,DF,Newcastle Utd,32,1989,5.8,3,0.52,1,0,0,2,0,0,1,0.17,0,0,0,1,0,0,Matches
160,Fernandinho,br BRA,MFDF,Manchester City,36,1985,10.7,30,2.8,24,0,0,4,2,0,4,0.37,4,0,0,0,0,0,Matches
161,Roberto Firmino,br BRA,FW,Liverpool,29,1991,11,37,3.36,32,0,1,3,0,1,6,0.55,4,0,0,1,0,1,Matches
162,Junior Firpo,es ESP,DF,Leeds United,24,1996,19,43,2.26,34,4,1,1,1,2,4,0.21,2,1,0,0,0,1,Matches
163,Ashley Fletcher,eng ENG,FW,Watford,25,1995,0.3,2,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
164,Phil Foden,eng ENG,FW,Manchester City,21,2000,23.6,83,3.51,57,13,3,6,3,1,13,0.55,8,3,0,2,0,0,Matches
165,Wesley Fofana,fr FRA,DF,Leicester City,20,2000,7,4,0.57,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
166,Pablo Fornals,es ESP,FWMF,West Ham,25,1996,31.1,87,2.8,67,8,4,5,2,1,9,0.29,7,1,0,1,0,0,Matches
167,Adam Forshaw,eng ENG,MF,Leeds United,29,1991,17,27,1.59,26,0,0,1,0,0,1,0.06,1,0,0,0,0,0,Matches
168,Marcus Forss,fi FIN,FWMF,Brentford,22,1999,2.3,2,0.86,1,0,0,1,0,0,1,0.43,0,0,0,1,0,0,Matches
169,Fraser Forster,eng ENG,GK,Southampton,33,1988,19,2,0.11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
170,Ben Foster,eng ENG,GK,Watford,38,1983,26,7,0.27,7,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
171,Tariqe Fosu,gh GHA,DF,Brentford,25,1995,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
172,Ryan Fraser,sct SCO,FWMF,Newcastle Utd,27,1994,16.3,47,2.89,28,8,0,5,5,1,6,0.37,3,1,0,1,1,0,Matches
173,Fred,br BRA,MF,Manchester Utd,28,1993,22.5,57,2.53,47,0,1,1,4,4,8,0.36,6,0,0,0,1,1,Matches
174,Ryan Fredericks,eng ENG,DF,West Ham,28,1992,3.4,2,0.59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
175,Leo Fuhr Hjelde,no NOR,DF,Leeds United,17,2003,1.7,3,1.8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
176,Conor Gallagher,eng ENG,MF,Crystal Palace,21,2000,31.6,89,2.82,44,23,3,7,10,2,13,0.41,8,1,2,0,1,1,Matches
177,Alejandro Garnacho,es ESP,FW,Manchester Utd,17,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
178,Dwight Gayle,eng ENG,FW,Newcastle Utd,30,1990,0.4,2,4.74,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
179,Jean-Philippe Gbamin,ci CIV,MF,Everton,25,1995,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
180,David de Gea,es ESP,GK,Manchester Utd,30,1990,38,3,0.08,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
181,Joe Gelhardt,eng ENG,FWMF,Leeds United,19,2002,8.3,22,2.65,14,0,3,1,4,0,6,0.72,2,0,2,0,2,0,Matches
182,Anwar El Ghazi,nl NED,FWMF,Aston Villa,26,1995,4.3,11,2.56,8,1,1,0,1,0,2,0.47,2,0,0,0,0,0,Matches
183,Anwar El Ghazi,nl NED,FW,Everton,26,1995,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
184,Saman Ghoddos,ir IRN,DFMF,Brentford,27,1993,6,25,4.2,18,2,0,1,3,1,2,0.34,1,0,0,0,1,0,Matches
185,Dimitris Giannoulis,gr GRE,DF,Norwich City,25,1995,13,17,1.31,14,1,0,0,2,0,2,0.15,2,0,0,0,0,0,Matches
186,Morgan Gibbs-White,eng ENG,FWMF,Wolves,21,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
187,Ben Gibson,eng ENG,DF,Norwich City,28,1993,27.7,11,0.4,10,0,0,0,0,1,1,0.04,1,0,0,0,0,0,Matches
