Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Max Aarons,eng ENG,DF,Norwich City,21,2000,32,69,37,50,19,0,37,58,63.8,21,434,113,26,255,140,39,86,22,1,64,56,125,70,0,Matches
2,Che Adams,sct SCO,FW,Southampton,25,1996,22.7,16,9,4,6,6,2,15,13.3,13,332,87,26.2,38,132,162,25,4,0,21,10,26,15,0,Matches
3,Rayan Aït Nouri,fr FRA,DF,Wolves,20,2001,20.3,76,43,54,14,8,28,45,62.2,17,402,135,33.6,231,116,55,34,3,0,31,38,114,32,1,Matches
4,Kristoffer Ajer,no NOR,DF,Brentford,23,1998,22.2,40,22,25,12,3,20,36,55.6,16,206,73,35.4,107,70,29,36,13,1,23,49,89,81,1,Matches
5,Nathan Aké,nl NED,DF,Manchester City,26,1995,10.3,15,5,6,8,1,4,7,57.1,3,70,23,32.9,26,37,7,12,5,0,7,18,33,31,0,Matches
6,Marc Albrighton,eng ENG,FWDF,Leicester City,31,1989,12.6,33,16,17,9,7,10,41,24.4,31,289,63,21.8,98,141,50,27,5,1,22,25,58,10,0,Matches
7,Thiago Alcántara,es ESP,MF,Liverpool,30,1991,17,58,40,17,31,10,12,40,30,28,319,117,36.7,86,163,70,26,2,0,24,35,93,18,2,Matches
8,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,31.7,44,24,22,15,7,23,59,39,36,288,97,33.7,114,88,86,39,5,1,34,76,120,43,1,Matches
9,Alisson,br BRA,GK,Liverpool,28,1992,36,0,0,0,0,0,0,2,0,2,6,3,50,6,0,0,1,0,0,1,0,0,1,2,Matches
10,Allan,br BRA,MF,Everton,30,1991,24.3,77,61,31,41,5,26,88,29.5,62,648,204,31.5,260,327,61,46,9,0,37,42,119,40,0,Matches
11,Dele Alli,eng ENG,MFFW,Tottenham,25,1996,7.3,19,7,11,6,2,5,17,29.4,12,209,55,26.3,81,92,36,25,5,0,20,17,36,12,0,Matches
12,Dele Alli,eng ENG,MF,Everton,25,1996,3.8,15,10,6,6,3,5,12,41.7,7,127,34,26.8,35,62,30,9,2,0,7,10,25,7,0,Matches
13,Miguel Almirón,py PAR,MFFW,Newcastle Utd,27,1994,19.1,57,33,27,22,8,13,47,27.7,34,432,109,25.2,127,166,139,22,1,1,21,25,82,12,0,Matches
14,Marcos Alonso,es ESP,DF,Chelsea,30,1990,24.1,45,28,21,13,11,14,32,43.8,18,300,85,28.3,121,101,78,39,6,0,33,66,111,55,0,Matches
15,Steven Alzate,co COL,MF,Brighton,22,1998,4.5,9,8,3,5,1,3,5,60,2,79,20,25.3,30,37,12,5,1,0,4,14,23,10,0,Matches
16,Daniel Amartey,gh GHA,DF,Leicester City,26,1994,23.6,25,12,15,9,1,16,32,50,16,172,54,31.4,97,67,8,48,24,1,24,30,55,110,2,Matches
17,Joachim Andersen,dk DEN,DF,Crystal Palace,25,1996,32.4,36,23,26,10,0,14,28,50,14,157,58,36.9,95,55,7,41,21,0,20,60,96,156,2,Matches
18,Michail Antonio,jm JAM,FW,West Ham,31,1990,33,28,23,7,9,12,6,20,30,14,460,133,28.9,34,166,260,26,1,0,25,14,42,17,0,Matches
19,Cameron Archer,eng ENG,MFFW,Aston Villa,19,2001,0.3,0,0,0,0,0,0,0,,0,4,0,0,0,2,2,0,0,0,0,1,1,1,0,Matches
20,Alphonse Areola,fr FRA,GK,West Ham,28,1993,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
21,Adam Armstrong,eng ENG,FW,Southampton,24,1997,15.7,10,7,3,3,4,0,6,0,6,239,64,26.8,21,89,129,10,1,0,9,9,19,6,0,Matches
22,Stuart Armstrong,sct SCO,MF,Southampton,29,1992,16.4,26,15,14,5,7,7,29,24.1,22,266,85,32,76,120,70,17,1,0,16,14,40,15,0,Matches
23,Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,4,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
24,Harrison Ashby,sct SCO,DF,West Ham,19,2001,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,1,0,0,1,1,1,0,0,Matches
25,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32,1989,11.5,12,7,5,5,2,2,6,33.3,4,201,53,26.4,23,78,100,19,3,0,16,1,13,3,0,Matches
26,Jordan Ayew,gh GHA,FW,Crystal Palace,29,1991,22.4,52,34,19,22,11,11,22,50,11,515,146,28.3,121,227,167,37,4,0,33,28,80,9,0,Matches
27,Luke Ayling,eng ENG,DF,Leeds United,29,1991,25.2,79,45,50,24,5,49,101,48.5,52,392,137,34.9,215,137,40,49,28,0,21,54,133,68,1,Matches
28,César Azpilicueta,es ESP,DF,Chelsea,31,1989,23,54,31,22,27,5,21,43,48.8,22,356,104,29.2,143,158,55,62,11,0,51,37,91,71,1,Matches
29,Daniel Bachmann,at AUT,GK,Watford,27,1994,12,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
30,Leon Bailey,jm JAM,FWMF,Aston Villa,23,1997,8.5,19,12,7,9,3,4,13,30.8,9,145,48,33.1,24,59,62,13,2,0,11,3,22,3,0,Matches
31,Eric Bailly,ci CIV,DF,Manchester Utd,27,1994,2.4,8,3,6,2,0,1,2,50,1,21,9,42.9,14,6,1,5,2,0,3,8,16,10,0,Matches
32,Folarin Balogun,eng ENG,FW,Arsenal,20,2001,0.8,0,0,0,0,0,0,0,,0,21,5,23.8,2,2,17,1,0,0,1,0,0,1,0,Matches
33,Patrick Bamford,eng ENG,FW,Leeds United,27,1993,6.2,3,2,1,2,0,1,4,25,3,111,38,34.2,4,47,60,6,3,0,3,3,6,8,0,Matches
34,Shandon Baptiste,gd GRN,MF,Brentford,23,1998,10.1,7,4,6,0,1,3,14,21.4,11,204,68,33.3,62,94,48,15,0,0,15,21,28,11,0,Matches
35,Ross Barkley,eng ENG,MF,Chelsea,27,1993,2,1,1,0,1,0,0,1,0,1,18,3,16.7,1,10,7,1,0,0,1,2,3,0,0,Matches
36,Ashley Barnes,eng ENG,FW,Burnley,31,1989,9,13,10,4,6,3,2,6,33.3,4,157,35,22.3,16,84,57,6,1,1,5,6,19,4,0,Matches
37,Harvey Barnes,eng ENG,FWMF,Leicester City,23,1997,23.3,31,13,9,12,10,5,25,20,20,295,89,30.2,73,118,104,26,1,0,25,10,41,6,0,Matches
38,Lewis Bate,eng ENG,MF,Leeds United,18,2002,1.6,1,0,0,0,1,0,6,0,6,73,10,13.7,21,48,4,2,0,0,2,5,6,2,0,Matches
39,Mads Bech Sørensen,dk DEN,DF,Brentford,22,1999,9.3,12,7,10,2,0,5,6,83.3,1,73,29,39.7,45,22,6,10,6,0,4,9,21,28,0,Matches
40,Jan Bednarek,pl POL,DF,Southampton,25,1996,29.2,37,21,23,13,1,18,37,48.6,19,238,76,31.9,130,102,6,64,30,1,34,95,132,169,0,Matches
41,Donny van de Beek,nl NED,MF,Manchester Utd,24,1997,0.8,5,3,3,2,0,1,1,100,0,16,6,37.5,5,6,5,2,1,0,1,2,7,2,0,Matches
42,Donny van de Beek,nl NED,MF,Everton,24,1997,5.4,15,9,8,6,1,6,15,40,9,100,26,26,27,52,21,7,3,0,4,9,24,5,0,Matches
43,Asmir Begovi?,ba BIH,GK,Everton,34,1987,3,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,2,0,Matches
44,Saïd Benrahma,dz ALG,FWMF,West Ham,25,1995,24.1,35,23,16,13,6,16,38,42.1,22,377,94,24.9,108,187,82,22,1,0,21,12,47,7,0,Matches
45,Rodrigo Bentancur,uy URU,MF,Tottenham,24,1997,15.1,37,15,15,14,8,12,33,36.4,21,327,79,24.2,113,175,39,32,10,0,22,18,55,28,0,Matches
